@type,name,typeCommunecter,image,url_communecter,url_api,address_@type,address_streetAddress,address_postalCode,address_addressLocality,address_codeInsee,address_addressCountry,geo_@type,geo_latitude,geo_longitude,description,tags_0,tags_1,tags_2,tags_3,tags_4,tags_5,tags_6,tags_7,tags_8,tags_9,slug,url_website,tags_10,tags_11,tags_12,tags_13,shortDescription,email
Organization,Day by Day ,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/5739b32e40bb4edd3b9a9f2c/logo-day-by-day.png,https://www.communecter.org/#@dayByDay6,https://www.communecter.org/api/organization/get/id/5739b32e40bb4edd3b9a9f2c,PostalAddress,384 Rue Léon Gambetta,59000,LILLE,59350,FR,GeoCoordinates,50.6283808,3.0519924,"Épicerie en vrac proposant les produits du quotidien en quantité à la demande et sans emballage inutile. Du mardi au samedi : 9h30 – 13h00 puis 15h00 – 19h30, Dimanche : 9h00 – 13h30",épicerie,SansEmballage,Vrac,Alimentation,Détail,Magasin,Zéro déchet,Bio,Accepte Contenant,100% Vrac,dayByDay6, , , , , , , 
Organization,Biocoop Solférino,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/5739b32e40bb4edd3b9a9f2e/biocoop.png,https://www.communecter.org/#@biocoopSolferino,https://www.communecter.org/api/organization/get/id/5739b32e40bb4edd3b9a9f2e,PostalAddress,98 rue Solférino,59000,LILLE,59350,FR,GeoCoordinates,50.6281885,3.0605729,"' Épicerie, boulangerie, fruits et légumes, produits d'entretien, produits cosmétiques et de bien-être, diététique, papèterie, huiles essentielles, huile pour moteur écologique. Ouvert le lundi de 15h à 19h00",Bio,Alimentation,épicerie,Boulangerie,Fruit,Légume,Cosmétique,Beauté,Légumineuses,Laitages,biocoopSolferino,http://www.biocoop-solferino.com/,Biocoop,Épicerie,Vrac,accepte contenant, , 
Organization,Bio C Bon Versailles,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58a81d3640bb4ee52d545624/th.jpg,https://www.communecter.org/#@bioCBonVersailles1,https://www.communecter.org/api/organization/get/id/58a81d3640bb4ee52d545624,PostalAddress,28 rue du Maréchal Foch,78000,VERSAILLES,78646,FR,GeoCoordinates,48.80517410,2.12195870,"Rayon vrac, Lundi au Samedi: 10h-20h, sauf Mardi et vendredi: 9h30-20h, Dimanche : 10h-13h. Boucherie, Fromagerie, Epicerie, Naturopathe, Zone d'échange de presse, Recyclez vos piles et vos cartouches Brita.",Alimentation,Produits biologiques,accepte contenant,Vrac,Boucherie,Pile,Commerce,Fromagerie,Primeur,Épicerie,bioCBonVersailles1,www.bio-c-bon.eu/fr/nos_magasins/bio-c-bon-versailles, , , , ,"<p>Rayon vrac, Lundi au Samedi: 10h-20h, sauf Mardi et vendredi: 9h30-20h, Dimanche : 10h-13h</p>", 
Organization,Day by Day  Versailles,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58a8624a40bb4e423b545631/dbd.jpg,https://www.communecter.org/#@dayByDayVersailles,https://www.communecter.org/api/organization/get/id/58a8624a40bb4e423b545631,PostalAddress,9 rue de Monteuil,78000,VERSAILLES,78646,FR,GeoCoordinates,48.805337,2.142672,"<section class='av_textblock_section' itemscope='itemscope' itemtype='https://schema.org/CreativeWork'>Epicerie 100% vrac (25% de bio) Du Mardi au Vendredi: 09:30 - 13:00, 15:30 - 19:30. Samedi: 09:30 - 13:00, 14:30 - 19:30 </section>",Accepte Contenant,Vrac,Épicerie,Alimentation,Commerce,Produits biologiques, , , , ,dayByDayVersailles,http://daybyday-shop.com/magasin/versailles, , , , ,"<p>Epicerie 100% vrac (25% de bio) Du Mardi au Vendredi: 09:30 - 13:00, 15:30 - 19:30. Samedi: 09:30 - 13:00, 14:30 - 19:30 <br></p><br>", 
Organization,Naturalia Versailles,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58a8c21640bb4efa4a545623/Nat.jpg,https://www.communecter.org/#@naturaliaVersailles,https://www.communecter.org/api/organization/get/id/58a8c21640bb4efa4a545623,PostalAddress,"88, rue de la Paroisse",78000,VERSAILLES,78646,FR,GeoCoordinates,48.806007,2.133902,"Lundi, Mercredi, Jeudi, samedi de 9h à 20h. Mardi, vendredi 9h>20h. Dimanche 9h30 > 12h45.",Accepte Contenant,Vrac,Produits biologiques,Épicerie,Commerce, , , , , ,naturaliaVersailles,http://magasins.naturalia.fr/produits-bio/versailles/3843, , , , ,"<p>Lundi, Mercredi, Jeudi, samedi de 9h à 20h. Mardi, vendredi 9h&gt.20h. Dimanche 9h30 &gt. 12h45.</p>", 
Organization,Naturalia Le Chesnay,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58a8c37a40bb4ea14b545623/Nat.jpg,https://www.communecter.org/#@naturaliaLeChesnay,https://www.communecter.org/api/organization/get/id/58a8c37a40bb4ea14b545623,PostalAddress,9 avenue dutartre,78150,LE CHESNAY,78158,FR,GeoCoordinates,48.828365,2.120373,Lundi au Samedi de 10h à 20h. Dimanche de 9h à 12h45.,Accepte Contenant,Vrac,Épicerie,Produits biologiques, , , , , , ,naturaliaLeChesnay,http://magasins.naturalia.fr/produits-bio/le-chesnay/3942, , , , , , 
Organization,Couleurs de Vie,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58e3b12240bb4e1067a0b591/couleursdevie.jpg,https://www.communecter.org/#@couleursDeVie,https://www.communecter.org/api/organization/get/id/58e3b12240bb4e1067a0b591,PostalAddress,18 rue debertrand,91410,DOURDAN,91200,FR,GeoCoordinates,48.52821400,2.01101900,"Ce magasin bio propose une large gamme de produits écologiques et biologiques.

Couleurs de Vie offre des fruits et légumes, des produits frais (produits laitiers, fromages, viandes…), du pain, des produits d’épicerie biologiques, des compléments alimentaires, des produits cosmétiques, naturopathie, phytothérapie (compléments alimentaires), aromathérapie (huiles essentielles bio et naturelles), peinture, produits ménagers, livres et jeux éducatifs.

Adresse : 18 Rue Debertrand, 91410 Dourdan

Téléphone : 01 64 59 77 18

Horaires : Ouvert aujourd'hui · 09:30–13:00, 15:00–19:30",Produits biologiques,Vrac,Accepte Contenant,Bio,Biologique,Alimentation,Commerce, , , ,couleursDeVie, , , , , , , 
Organization,Naturéo - Dourdan,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58e3b27d40bb4e2d67a0b58a/Dourdan.jpg,https://www.communecter.org/#@natureoDourdan,https://www.communecter.org/api/organization/get/id/58e3b27d40bb4e2d67a0b58a,PostalAddress,7 rue d'orsonville,91410,DOURDAN,91200,FR,GeoCoordinates,48.523643,2.020733,"L’équipe du magasin vous accueille du lundi au samedi de 09h30 à 19h30 et le dimanche de 9h30 à 12h45.

Nos commodités :

Téléphone : 01 64 94 23 72

Fax : 01 64 94 23 92Adresse :

7 rue d’Orsonville

91410 DOURDAN",Vrac,Commerce,Alimentation,Accepte Contenant,Produits biologiques, , , , , ,natureoDourdan,http://www.natureo-bio.fr/magasin-dourdan, , , , , , 
Organization,Autrement Vrac,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58e5105b40bb4ef81ba0b588/autrementvrac.png,https://www.communecter.org/#@autrementVrac,https://www.communecter.org/api/organization/get/id/58e5105b40bb4ef81ba0b588,PostalAddress,49 rue de l'horloge,13300,SALON DE PROVENCE,13103,FR,GeoCoordinates,43.64062,5.097615, ,Vrac,Accepte Contenant,Commerce,Alimentation,Droguerie,Epicerie, , , , ,autrementVrac,http://www.autrementvrac.fr/, , , , , ,epicerie@autrementvrac.fr
Organization,La juste mesure,LocalBusiness,https://www.communecter.org/upload/communecter/organizations/58f74c3f40bb4e2f7ce905ae/la-juste-mesure.png,https://www.communecter.org/#@laJusteMesure,https://www.communecter.org/api/organization/get/id/58f74c3f40bb4e2f7ce905ae,PostalAddress,2Bis rue du fort montagne,59910,BONDUES,59090,FR,GeoCoordinates,50.70603900,3.09985000,Épicerie de produits bio majoritairement mais aussi de produits locaux et artisanaux sans emballage!,Épicerie,Vrac,Zéro déchet,Alimentation,Produits biologiques,accepte contenant,SansEmballage,produits locaux, , ,laJusteMesure,https://www.facebook.com/pg/LaJusteMesure.epicerie, , , , , ,contact@lajustemesure.fr
