"@type";"name";"typeCommunecter";"url.communecter";"url.api";"url.website";"address.@type";"address.streetAddress";"address.postalCode";"address.addressLocality";"address.codeInsee";"address.addressCountry";"geo.@type";"geo.latitude";"geo.longitude";"tags.0";"tags.1";"tags.2";"slug";"description";"image";"shortDescription";"tags.3";"tags.4";"email";"tags.5";"tags.6";"tags.7";"tags.8";"tags.9";"tags.10";"tags.11";"tags.12";"tags.13";"tags.14"
"Organization";"Biocoop L’Ephebio";"LocalBusiness";"https://www.communecter.org/#@biocoopLephebio";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa77";"http://biocoop.fr/";"PostalAddress";"CC Les Portes Du Littoral route de Sète";"34300";"AGDE";"34003";"FR";"GeoCoordinates";"43.3068271";"3.4949899";"Vrac";"Épicerie";"Produits biologiques";"biocoopLephebio";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Marché Couvert";"LocalBusiness";"https://www.communecter.org/#@biocoopMarcheCouvert";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa7b";"http://biocoop.fr/";"PostalAddress";"place Jean-Baptiste Durand";"47000";"AGEN";"47001";"FR";"GeoCoordinates";"44.20417255";"0.617773748094027";"Vrac";"Épicerie";"Produits biologiques";"biocoopMarcheCouvert";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Le Pré Vert";"LocalBusiness";"https://www.communecter.org/#@biocoopLePreVert";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa7f";"http://biocoop.fr/";"PostalAddress";"156 impasse Péchabout";"47000";"AGEN";"47001";"FR";"GeoCoordinates";"44.1944195";"0.6424393";"Vrac";"Épicerie";"Produits biologiques";"biocoopLePreVert";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop Terres Bio";"LocalBusiness";"https://www.communecter.org/#@biocoopTerresBio";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa83";"http://biocoop.fr/";"PostalAddress";"1 rue Pré Potet";"21121";"AHUY";"21003";"FR";"GeoCoordinates";"47.3574336";"5.0348574";"Vrac";"Épicerie";"Produits biologiques";"biocoopTerresBio";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biocoop La Coumpagnie";"LocalBusiness";"https://www.communecter.org/#@biocoopLaCoumpagnie";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa87";"http://biocoop.fr/";"PostalAddress";"840 avenue Camp de Menthe";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5109773";"5.4138978";"Vrac";"Épicerie";"Produits biologiques";"biocoopLaCoumpagnie";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Biomonde LOQO";"LocalBusiness";"https://www.communecter.org/#@biomondeLoqo";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa8b";"https://www.biomonde.fr/";"PostalAddress";"quartier de la Joliette 12 rue des Docks";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5298424";"5.4474738";"Vrac";"Épicerie";"Produits biologiques";"biomondeLoqo";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"La Supérette Bio";"LocalBusiness";"https://www.communecter.org/#@laSuperetteBio";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa8f";" ";"PostalAddress";"24 cours Sextius";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5285487";"5.4433781";"Vrac";"Épicerie";"Produits biologiques";"laSuperetteBio";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"La Vie Claire";"LocalBusiness";"https://www.communecter.org/#@laVieClaire27";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa93";"http://www.lavieclaire.com";"PostalAddress";"49 rue d’Italie";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5255874";"5.4536966";"Vrac";"Épicerie";"Produits biologiques";"laVieClaire27";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Le Palais des Thés";"LocalBusiness";"https://www.communecter.org/#@lePalaisDesThes2";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa97";"www.palaisdesthes.com/";"PostalAddress";"1 rue Chabrier";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5292252";"5.4487106";"Vrac";"Épicerie";"Thé Café";"lePalaisDesThes2";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio C Bon Gambetta";"LocalBusiness";"https://www.communecter.org/#@bioCBonGambetta";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa9b";"http://www.bio-c-bon.eu/fr";"PostalAddress";"11 Cours Gambetta";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5183682";"5.463615";"Vrac";"Épicerie";"Produits biologiques";"bioCBonGambetta";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio C Bon Belges";"LocalBusiness";"https://www.communecter.org/#@bioCBonBelges";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aa9f";"http://www.bio-c-bon.eu/fr";"PostalAddress";"3 Avenue des Belges";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5250518";"5.4436526";"Vrac";"Épicerie";"Produits biologiques";"bioCBonBelges";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
"Organization";"Bio C Bon Briand";"LocalBusiness";"https://www.communecter.org/#@bioCBonBriand";"https://www.communecter.org/api/organization/get/id/594e0fc140bb4eba4a87aaa3";"http://www.bio-c-bon.eu/fr";"PostalAddress";"25 Boulevard Aristide Briand";"13100";"AIX EN PROVENCE";"13001";"FR";"GeoCoordinates";"43.5329547";"5.4470281";"Vrac";"Épicerie";"Produits biologiques";"bioCBonBriand";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
