id,name,categories,categories_ids,latitude,longitude,streetAddress,addressLocality,postalCode,addressCountry,status,moderationState,source,images,files,Bio,Opérateur,Source,description,facebook,fullAddress,lat,streetNumber,tags/description,tags/operator,tags/recycling:green_waste,tags/recycling_type,tags/source:bulk_purchase,website,Téléphone,email
62W,"Biocoop - Sarlat ","Magasin avec rayon vrac,Magasin vrac","4,25",44.87818,1.2121,"Centre Commerciale du Pontet D704 la Gendonie Basse  24200 Sarlat-la-Canéda",,,,-4,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"Centre Commerciale du Pontet D704 la Gendonie Basse  24200 Sarlat-la-Canéda",,,,,,,,,,"N°: 05.53.59.03.10      "
62Z,"La Vie Claire Creysse","Magasin avec rayon vrac,Magasin vrac","4,25",44.85002,0.5361,"134 Avenue de la Roque 24100 Creysse",,,,-4,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"134 Avenue de la Roque 24100 Creysse",,,,,,,,,,"N°: 05.53.23.97.76      "
62f,"Tri-porteur 24","Ressourcerie,Réemploi","6,26",44.83114,0.70398,"77 Avenue de Cahors 24150 Couze-et-Saint-Front",,,,-4,0,ZW_Dordogne,,,,,ZeroWasteDordogne,"Mail: recyclerie.tri-porteur24@outlook.fr",,"77 Avenue de Cahors 24150 Couze-et-Saint-Front",,,,,,,,,,"N°: 07.83.52.76.45"
62i,"Epicerie Pêle-Mêle","Magasin avec rayon vrac,Magasin vrac","4,25",44.85504,0.4853,"49 Rue Sainte-Catherine 24100 Bergerac",,,,-4,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"49 Rue Sainte-Catherine 24100 Bergerac",,,,,,,,,,"N°:  05.47.77.94.03"
61t,"L'Ecailler by fred","Poissonnerie,Commerçants Zéro Déchet","17,11",45.18413,0.72266,"1 place Daumesnil 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"1 place Daumesnil 24000 Périgueux",,,,,,,,,,"https://fr-fr.facebook.com/lecaillerbyfred/ 07 72 13 48 01"
61u,"GBS Boucherie Charcuterie","Boucherie,Commerçants Zéro Déchet","18,11",44.89228,1.21522,"24200 Sarlat 36 Avenue Gambetta",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"24200 Sarlat 36 Avenue Gambetta",,,,,,,,,,"05 53 59 13 39   https://fr-fr.facebook.com/pages/category/Local-Business/GBS-Boucherie-271131610368370/"
61v,"La ferme Périgourdine","Fromagerie,Commerçants Zéro Déchet","19,11",45.18473,0.72196,"9 rue Limogeanne 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"9 rue Limogeanne 24000 Périgueux",,,,,,,,,,"https://www.la-ferme-perigourdine.com  0553084122   laferme.perigourdine@wanadoo.fr"
61w,"Boucherie - Charcuterie Pierre Chavier","Boucherie,Commerçants Zéro Déchet","18,11",45.18498,0.7221,"14 rue Limogeanne 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"14 rue Limogeanne 24000 Périgueux",,,,,,,,,,"https://www.label-viande-limousine.fr/chavier-pierre.html   05 53 53 66 59"
61x,"Le Kafeier","Café / Salon de thé,Commerçants Zéro Déchet","15,11",45.18508,0.72203,"17, rue Limogeanne 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"17, rue Limogeanne 24000 Périgueux",,,,,,,,,,"https://fr-fr.facebook.com/CoffeeShopPerigueux/?ref=py_c   05 53 53 97 07"
61y," Boulangerie Limogeanne","Boulangerie,Commerçants Zéro Déchet,Café / Salon de thé","16,11,15",45.1855,0.72203,"31 rue Limogeanne 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"31 rue Limogeanne 24000 Périgueux",,,,,,,,,,
61z,"Les Thés du marché","Café / Salon de thé,Commerçants Zéro Déchet","15,11",45.18507,0.72088,"16 rue Eguillerie 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"16 rue Eguillerie 24000 Périgueux",,,,,,,,,," https://lesthesdumarche.com   06 63 22 10 84"
620,"Poissonnerie Marty","Poissonnerie,Commerçants Zéro Déchet","17,11",45.18458,0.72064,"11 rue des Chaines 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"11 rue des Chaines 24000 Périgueux",,,,,,,,,,"https://fr-fr.facebook.com/pages/category/Shopping---Retail/Poissonnerie-Marty-1435651053402195/   05 53 03 45 62"
621,"Maison Mazières","Boucherie,Commerçants Zéro Déchet","18,11",45.18461,0.72053,"9 r ue des Chaines 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"9 r ue des Chaines 24000 Périgueux",,,,,,,,,,"https://perigueux-commerce.com/commercants/commerces-alimentaires/alimentation-boucherie/maison-mazieres 05 53 53 47 04"
622,"Patisserie Montaigne","Boulangerie,Commerçants Zéro Déchet","16,11",45.18571,0.72195,"13 bd Montaigne 24000 Périgueux",,,,7,0,ZW_Dordogne,,,,,ZeroWasteDordogne,,,"13 bd Montaigne 24000 Périgueux",,,,,,,,,,"https://fr-fr.facebook.com/patisseriemontaigne/   05 53 53 52 30
"
