"Geo Point","Geo Shape","INSEE","NOMBRE_BAC","TYPOLOGIE_SITE","STATUT","HORAIRES_LUNDI","HORAIRES_MARDI","HORAIRES_MERCREDI","HORAIRES_JEUDI","HORAIRES_VENDREDI","HORAIRES_SAMEDI","HORAIRES_DIMANCHE","HORAIRES_COMP","CONTACT","ADRESSE","VOLUME_BAC","MDATE","GID","NIV_REFERENT","DATE_MES","GEOM_O","GEOM_ERR","LIBELLE","CDATE","URL_PHOTO"
"44.811856, -0.6191141","{""type"": ""Point"", ""coordinates"": [-0.6191141, 44.811856]}","33318",3,"ENTREPRISE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","101 Avenue Jean Jaurès, 33600 Pessac",400,"2020-06-25 14:26:39+02:00","1824","REFERENT_DE_SITE","2020-06-24T22:00:00","0",,"Chez le boulanger","2020-04-23 16:48:44+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/pessac_ent_chezlzboulanger.jpg"
"44.8013662, -0.5446368","{""type"": ""Point"", ""coordinates"": [-0.5446368, 44.8013662]}","33039",3,"DOMAINE_PUBLIC","EN_SERVICE","FERME","18h30","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","Avenue Jeanne d'Arc, 33130 Bègles",1000,"2020-08-19 16:12:27+02:00","1827","REFERENT_DE_SITE","2020-04-22T22:00:00","0",,"Square de Suhl","2020-04-23 17:15:58+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/begles_dompublic_squaredesulh.jpg"
"44.8052268, -0.571511","{""type"": ""Point"", ""coordinates"": [-0.571511, 44.8052268]}","33039",3,"RESIDENCE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","208 Route de Toulouse, 33130 Bègles",800,"2020-06-08 14:12:40+02:00","1856","REFERENT_DE_SITE","2020-05-04T22:00:00","0",,"Résidence Mont Louis","2020-05-05 17:25:33+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/"
"44.8438814, -0.6076464","{""type"": ""Point"", ""coordinates"": [-0.6076464, 44.8438814]}","33063",3,"RESIDENCE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","111 rue Jules Ferry, 33000 Bordeaux",600,"2020-06-08 17:53:08+02:00","1857","REFERENT_DE_SITE","2020-05-18T22:00:00","0",,"Résidence Bel Air","2020-05-05 17:28:43+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/bordeaux_res_belair.jpg"
"44.8617817, -0.5929481","{""type"": ""Point"", ""coordinates"": [-0.5929481, 44.8617817]}","33069",3,"RESIDENCE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","113-119 Avenue de Tivoli, 33110 Le Bouscat",1000,"2020-06-08 17:47:46+02:00","1806","REFERENT_DE_SITE","2020-05-10T22:00:00","0",,"Résidence Calypso","2020-04-21 14:01:40+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/lebouscat_res_calypso.jpg"
"44.8179358, -0.6828753","{""type"": ""Point"", ""coordinates"": [-0.6828753, 44.8179358]}","33281",3,"RESIDENCE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","45 avenue Jean Monnet, 33700 Mérignac",600,"2020-08-13 15:56:14+02:00","1925","REFERENT_DE_SITE","2020-05-24T22:00:00","0",,"résidence Villa Clara","2020-05-25 14:14:08+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/merignac_res_villaclara.jpg"
"44.774771, -0.6292625","{""type"": ""Point"", ""coordinates"": [-0.6292625, 44.774771]}","33192",3,"ENTREPRISE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","19 chemin du solarium, 33170 Gradignan",400,"2020-06-08 17:36:41+02:00","1905","REFERENT_DE_SITE","2020-05-11T22:00:00","0",,"encbg","2020-05-12 16:27:24+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/gradignan-ent-encbg.jpg"
"44.8567592, -0.5305418","{""type"": ""Point"", ""coordinates"": [-0.5305418, 44.8567592]}","33119",5,"ASSOCIATION","EN_SERVICE","FERME","FERME","FERME","18h à 20h","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","rue René Bonnac, 33150 Cenon",1000,"2020-09-16 15:46:14+02:00","1800","MAITRE_COMPOSTEUR","2020-09-15T22:00:00","0",,"AMAP Gourmandignes","2020-04-21 14:01:40+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/cenon_asso_amaplesgourmandine.jpg"
"44.8274483, -0.5598715","{""type"": ""Point"", ""coordinates"": [-0.5598715, 44.8274483]}","33063",4,"RESIDENCE","EN_SERVICE","FERME","FERME","FERME","FERME","FERME","FERME","FERME",,"bmcompost@bordeaux-metropole.fr","3 Rue des Anciens Combattants d'Afrique, 33800 Bordeaux",1000,"2020-06-02 16:09:37+02:00","1823","REFERENT_DE_SITE","2020-05-18T22:00:00","0",,"Résidence Belle Étoile","2020-04-21 14:01:40+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/bordeaux_res_belleetoile.jpg"
"44.8429779, -0.5854497","{""type"": ""Point"", ""coordinates"": [-0.5854497, 44.8429779]}","33063",6,"DOMAINE_PUBLIC","COMPLET","FERME","FERME","18:00-19:00","FERME","FERME","FERME","FERME","En hiver 17h - 18. En été 18h - 19h","bmcompost@bordeaux-metropole.fr","Place Saint Seurin, 33000 Bordeaux",1000,"2020-06-08 17:52:17+02:00","1802","MAITRE_COMPOSTEUR","2020-06-02T22:00:00","0",,"Jardin Partagé Saint-Seurin - Clos Serein","2020-04-21 14:01:40+02:00","https://fichiers.bordeaux-metropole.fr/geo/composteurs/bordeaux_dompublic_saintseurin.jpg"
